Building Class,Say,Sdy,Sdult,Drift - Slight [m],Drift - Moderate [m],Drift - Extensive [m],Drift - Complete [m]
CR_LFINF+CDL+DUL_H1,0.42868365420181986,0.002526315789473684,0.027368421052631573,0.002526315789473684,0.0142632,0.025496799999999997,0.027368421052631573
CR_LFINF+CDL+DUL_H2,0.2250589184559554,0.005305263157894736,0.051452631578947354,0.005305263157894736,0.027310079999999997,0.04817791999999999,0.051452631578947354
CR_LFINF+CDL+DUL_H3,0.16004189756867943,0.008488421052631574,0.0714315789473684,0.008488421052631574,0.03891535199999999,0.06737824799999999,0.0714315789473684
CR_LFINF+CDL+DUL_H4,0.12860509626054595,0.01212631578947368,0.0886736842105263,0.01212631578947368,0.049724639999999994,0.08433936,0.0886736842105263
CR_LFINF+CDL+DUL_H5,0.10888564816726223,0.016042105263157896,0.10126315789473685,0.016042105263157896,0.05873952000000001,0.09727648000000001,0.10126315789473685
CR_LFINF+CDL+DUL_H6,0.09645382219540947,0.020463157894736836,0.11658947368421048,0.020463157894736836,0.06940583999999998,0.11287415999999996,0.11658947368421048
CR_LFINF+CDL+DUL_H7,0.08696154128094061,0.025111578947368412,0.12835789473684212,0.025111578947368412,0.078713208,0.12540119200000002,0.12835789473684212
CR_LFINF+CDL+DUL_H8,0.08037818516284122,0.030315789473684206,0.14012631578947363,0.030315789473684206,0.08851583999999998,0.13817215999999996,0.14012631578947363
CR_LFINF+CDL+DUL_H9,0.07478148189965082,0.03569684210526315,0.14778947368421047,0.03569684210526315,0.09667425599999999,0.14736254399999996,0.14778947368421047
CR_LFINF+CDL+DUL_H10,0.07073280294330025,0.041684210526315775,0.15599999999999997,0.041684210526315775,0.10561319999999999,0.15730679999999997,0.15599999999999997
