Building Class,Say,Sdy,Sdult,Drift - Slight [%],Drift - Moderate [%],Drift - Extensive [%],Drift - Complete [%]
CR_LFINF+CDL+DUL_H1,0.42868365420181986,0.002526315789473684,0.027368421052631573,0.12,0.5094000000000001,0.9106,1.3
CR_LFINF+CDL+DUL_H2,0.2250589184559554,0.005305263157894736,0.051452631578947354,0.12599999999999997,0.48767999999999995,0.8603199999999999,1.2219999999999998
CR_LFINF+CDL+DUL_H3,0.16004189756867943,0.008488421052631574,0.0714315789473684,0.13439999999999994,0.463278,0.8021219999999999,1.1309999999999998
CR_LFINF+CDL+DUL_H4,0.12860509626054595,0.01212631578947368,0.0886736842105263,0.14399999999999993,0.44397,0.7530300000000001,1.0529999999999997
CR_LFINF+CDL+DUL_H5,0.10888564816726223,0.016042105263157896,0.10126315789473685,0.1524,0.4195680000000001,0.6948320000000001,0.9620000000000002
CR_LFINF+CDL+DUL_H6,0.09645382219540947,0.020463157894736836,0.11658947368421048,0.16199999999999998,0.41313,0.6718699999999999,0.9229999999999998
CR_LFINF+CDL+DUL_H7,0.08696154128094061,0.025111578947368412,0.12835789473684212,0.17039999999999997,0.40159800000000007,0.6398020000000002,0.8710000000000002
CR_LFINF+CDL+DUL_H8,0.08037818516284122,0.030315789473684206,0.14012631578947363,0.18,0.39515999999999996,0.6168399999999998,0.8319999999999997
CR_LFINF+CDL+DUL_H9,0.07478148189965082,0.03569684210526315,0.14778947368421047,0.18839999999999998,0.38362799999999997,0.5847719999999998,0.7799999999999997
CR_LFINF+CDL+DUL_H10,0.07073280294330025,0.041684210526315775,0.15599999999999997,0.19799999999999995,0.37718999999999997,0.5618099999999999,0.7409999999999999
