Building Class,Say,Sdy,Sdult,Drift - Slight [%],Drift - Moderate [%],Drift - Extensive [%],Drift - Complete [%]
CR_LFINF+CDL+DUL_H1,0.42868365420181986,0.002526315789473684,0.027368421052631573,0.09022556390977443,0.38300751879699246,0.6846616541353383,0.9774436090225562
CR_LFINF+CDL+DUL_H2,0.2250589184559554,0.005305263157894736,0.051452631578947354,0.1894736842105263,0.7333533834586465,1.2937142857142856,1.8375939849624057
CR_LFINF+CDL+DUL_H3,0.16004189756867943,0.008488421052631574,0.0714315789473684,0.30315789473684196,1.044987969924812,1.8092977443609022,2.5511278195488716
CR_LFINF+CDL+DUL_H4,0.12860509626054595,0.01212631578947368,0.0886736842105263,0.4330827067669171,1.3352481203007518,2.264751879699248,3.166917293233082
CR_LFINF+CDL+DUL_H5,0.10888564816726223,0.016042105263157896,0.10126315789473685,0.5729323308270677,1.577323308270677,2.61215037593985,3.6165413533834587
CR_LFINF+CDL+DUL_H6,0.09645382219540947,0.020463157894736836,0.11658947368421048,0.7308270676691727,1.863744360902255,3.0309924812030062,4.163909774436089
CR_LFINF+CDL+DUL_H7,0.08696154128094061,0.025111578947368412,0.12835789473684212,0.8968421052631577,2.1136736842105264,3.367378947368422,4.58421052631579
CR_LFINF+CDL+DUL_H8,0.08037818516284122,0.030315789473684206,0.14012631578947363,1.0827067669172932,2.376902255639097,3.710315789473683,5.004511278195487
CR_LFINF+CDL+DUL_H9,0.07478148189965082,0.03569684210526315,0.14778947368421047,1.2748872180451125,2.5959789473684207,3.9571037593984957,5.278195488721803
CR_LFINF+CDL+DUL_H10,0.07073280294330025,0.041684210526315775,0.15599999999999997,1.4887218045112778,2.8360150375939845,4.224135338345865,5.571428571428571
