occupancy,slight,moderate,extensive,complete
RES1,8.505,132.192,252.72,371.304
RES2,2.835,22.032,84.24,123.768
RES3,9.072,176.256,337.48,495.836
RES4,4.536,66.096,126.36,123.768
RES5,4.536,66.096,126.36,123.768
RES6,9.072,176.256,337.48,495.836
COM1,7,99.96,189.8,186.225
COM2,7,98.94,189.8,186.225
COM3,7,98.94,189.8,186.225
COM4,14,99.96,189.15,185.843
COM5,14,97.92,130,191
COM6,7,99.144,189.54,185.652
COM7,7,99.144,94.77,208.954
COM8,14,99.144,126.36,185.652
COM9,14,99.144,94.77,139.239
COM10,8.75,99.144,142.22,208.954
IND1,3.36,99.144,126.36,139.239
IND2,3.5,98.94,126.49,139.621
IND3,3.5,98.94,126.49,139.621
IND4,3.5,98.94,126.49,139.621
IND5,3.5,98.94,126.49,139.621
IND6,7,98.94,126.49,186.225
