occupancy,slight,moderate,extensive,complete
RES1,19.44,64.152,95.256,130.248
RES2,6.48,10.692,31.752,43.416
RES3,20.736,85.536,127.204,173.932
RES4,10.368,32.076,47.628,43.416
RES5,10.368,32.076,47.628,43.416
RES6,20.736,85.536,127.204,173.932
COM1,16,48.51,71.54,65.325
COM2,16,48.015,71.54,65.325
COM3,16,48.015,71.54,65.325
COM4,32,48.51,71.295,65.191
COM5,32,47.52,49,67
COM6,16,48.114,71.442,65.124
COM7,16,48.114,35.721,73.298
COM8,32,48.114,47.628,65.124
COM9,32,48.114,35.721,48.843
COM10,20,48.114,53.606,73.298
IND1,7.68,48.114,47.628,48.843
IND2,8,48.015,47.677,48.977
IND3,8,48.015,47.677,48.977
IND4,8,48.015,47.677,48.977
IND5,8,48.015,47.677,48.977
IND6,16,48.015,47.677,65.325
