occupancy,slight,moderate,extensive,complete
RES1,10.935,126.36,239.112,347.976
RES2,3.645,21.06,79.704,115.992
RES3,11.664,168.48,319.308,464.684
RES4,5.832,63.18,119.556,115.992
RES5,5.832,63.18,119.556,115.992
RES6,11.664,168.48,319.308,464.684
COM1,9,95.55,179.58,174.525
COM2,9,94.575,179.58,174.525
COM3,9,94.575,179.58,174.525
COM4,18,95.55,178.965,174.167
COM5,18,93.6,123,179
COM6,9,94.77,179.334,173.988
COM7,9,94.77,89.667,195.826
COM8,18,94.77,119.556,173.988
COM9,18,94.77,89.667,130.491
COM10,11.25,94.77,134.562,195.826
IND1,4.32,94.77,119.556,130.491
IND2,4.5,94.575,119.679,130.849
IND3,4.5,94.575,119.679,130.849
IND4,4.5,94.575,119.679,130.849
IND5,4.5,94.575,119.679,130.849
IND6,9,94.575,119.679,174.525
