taxonomy,consequence,loss_type,slight,moderate,extensive,complete
CR/LDUAL+CDH+DUH/H1/COM,collapsed,structural,0,0,0,0.057
CR/LDUAL+CDH+DUH/H1/IND,collapsed,structural,0,0,0,0.057
CR/LDUAL+CDH+DUH/H1/RES,collapsed,structural,0,0,0,0.057
CR/LDUAL+CDH+DUH/H10/COM,collapsed,structural,0,0,0,0.038
CR/LDUAL+CDH+DUH/H10/IND,collapsed,structural,0,0,0,0.038
CR/LDUAL+CDH+DUH/H10/NSCA/COM,collapsed,structural,0,0,0,0.038
CR/LDUAL+CDH+DUH/H10/NSCA/IND,collapsed,structural,0,0,0,0.038
CR/LDUAL+CDH+DUH/H10/NSCA/RES,collapsed,structural,0,0,0,0.038
CR/LDUAL+CDH+DUH/H10/RES,collapsed,structural,0,0,0,0.038
CR/LDUAL+CDH+DUH/H11/COM,collapsed,structural,0,0,0,0.038
CR/LDUAL+CDH+DUH/H11/IND,collapsed,structural,0,0,0,0.038
CR/LDUAL+CDH+DUH/H11/NSCA/COM,collapsed,structural,0,0,0,0.038
CR/LDUAL+CDH+DUH/H11/NSCA/IND,collapsed,structural,0,0,0,0.038
CR/LDUAL+CDH+DUH/H11/NSCA/RES,collapsed,structural,0,0,0,0.038
CR/LDUAL+CDH+DUH/H11/RES,collapsed,structural,0,0,0,0.038
CR/LDUAL+CDH+DUH/H12/COM,collapsed,structural,0,0,0,0.038
CR/LDUAL+CDH+DUH/H12/IND,collapsed,structural,0,0,0,0.038
CR/LDUAL+CDH+DUH/H12/NSCA/COM,collapsed,structural,0,0,0,0.038
CR/LDUAL+CDH+DUH/H12/NSCA/IND,collapsed,structural,0,0,0,0.038
CR/LDUAL+CDH+DUH/H12/NSCA/RES,collapsed,structural,0,0,0,0.038
CR/LDUAL+CDH+DUH/H12/RES,collapsed,structural,0,0,0,0.038
CR/LDUAL+CDH+DUH/H2/COM,collapsed,structural,0,0,0,0.054285714
CR/LDUAL+CDH+DUH/H2/IND,collapsed,structural,0,0,0,0.054285714
CR/LDUAL+CDH+DUH/H2/RES,collapsed,structural,0,0,0,0.054285714
CR/LDUAL+CDH+DUH/H3/COM,collapsed,structural,0,0,0,0.051571429
CR/LDUAL+CDH+DUH/H3/IND,collapsed,structural,0,0,0,0.051571429
CR/LDUAL+CDH+DUH/H3/RES,collapsed,structural,0,0,0,0.051571429
CR/LDUAL+CDH+DUH/H4/COM,collapsed,structural,0,0,0,0.048857143
CR/LDUAL+CDH+DUH/H4/IND,collapsed,structural,0,0,0,0.048857143
CR/LDUAL+CDH+DUH/H4/RES,collapsed,structural,0,0,0,0.048857143
CR/LDUAL+CDH+DUH/H5/COM,collapsed,structural,0,0,0,0.046142857
CR/LDUAL+CDH+DUH/H5/IND,collapsed,structural,0,0,0,0.046142857
CR/LDUAL+CDH+DUH/H5/RES,collapsed,structural,0,0,0,0.046142857
CR/LDUAL+CDH+DUH/H6/COM,collapsed,structural,0,0,0,0.043428571
CR/LDUAL+CDH+DUH/H6/IND,collapsed,structural,0,0,0,0.043428571
CR/LDUAL+CDH+DUH/H6/RES,collapsed,structural,0,0,0,0.043428571
CR/LDUAL+CDH+DUH/H7/COM,collapsed,structural,0,0,0,0.040714286
CR/LDUAL+CDH+DUH/H7/IND,collapsed,structural,0,0,0,0.040714286
CR/LDUAL+CDH+DUH/H7/RES,collapsed,structural,0,0,0,0.040714286
CR/LDUAL+CDH+DUH/H8/COM,collapsed,structural,0,0,0,0.038
CR/LDUAL+CDH+DUH/H8/IND,collapsed,structural,0,0,0,0.038
CR/LDUAL+CDH+DUH/H8/RES,collapsed,structural,0,0,0,0.038
CR/LDUAL+CDH+DUH/H9/COM,collapsed,structural,0,0,0,0.038
CR/LDUAL+CDH+DUH/H9/IND,collapsed,structural,0,0,0,0.038
CR/LDUAL+CDH+DUH/H9/RES,collapsed,structural,0,0,0,0.038
CR/LDUAL+CDH+DUM/H1/COM,collapsed,structural,0,0,0,0.076
CR/LDUAL+CDH+DUM/H1/IND,collapsed,structural,0,0,0,0.076
CR/LDUAL+CDH+DUM/H1/RES,collapsed,structural,0,0,0,0.076
CR/LDUAL+CDH+DUM/H10/COM,collapsed,structural,0,0,0,0.050666667
CR/LDUAL+CDH+DUM/H10/IND,collapsed,structural,0,0,0,0.050666667
CR/LDUAL+CDH+DUM/H10/RES,collapsed,structural,0,0,0,0.050666667
CR/LDUAL+CDH+DUM/H11/COM,collapsed,structural,0,0,0,0.050666667
CR/LDUAL+CDH+DUM/H11/IND,collapsed,structural,0,0,0,0.050666667
CR/LDUAL+CDH+DUM/H11/RES,collapsed,structural,0,0,0,0.050666667
CR/LDUAL+CDH+DUM/H12/COM,collapsed,structural,0,0,0,0.050666667
CR/LDUAL+CDH+DUM/H12/IND,collapsed,structural,0,0,0,0.050666667
CR/LDUAL+CDH+DUM/H12/RES,collapsed,structural,0,0,0,0.050666667
CR/LDUAL+CDH+DUM/H2/COM,collapsed,structural,0,0,0,0.072380952
CR/LDUAL+CDH+DUM/H2/IND,collapsed,structural,0,0,0,0.072380952
