taxonomy,consequence,loss_type,slight,moderate,extensive,complete
CR/LDUAL+CDH+DUH/H1/COM,homeless,structural,0,0,0,0
CR/LDUAL+CDH+DUH/H1/IND,homeless,structural,0,0,0,0
CR/LDUAL+CDH+DUH/H1/RES,homeless,structural,0,0,1,1
CR/LDUAL+CDH+DUH/H10/COM,homeless,structural,0,0,0,0
CR/LDUAL+CDH+DUH/H10/IND,homeless,structural,0,0,0,0
CR/LDUAL+CDH+DUH/H10/NSCA/COM,homeless,structural,0,0,0,0
CR/LDUAL+CDH+DUH/H10/NSCA/IND,homeless,structural,0,0,0,0
CR/LDUAL+CDH+DUH/H10/NSCA/RES,homeless,structural,0,0,1,1
CR/LDUAL+CDH+DUH/H10/RES,homeless,structural,0,0,1,1
CR/LDUAL+CDH+DUH/H11/COM,homeless,structural,0,0,0,0
CR/LDUAL+CDH+DUH/H11/IND,homeless,structural,0,0,0,0
CR/LDUAL+CDH+DUH/H11/NSCA/COM,homeless,structural,0,0,0,0
CR/LDUAL+CDH+DUH/H11/NSCA/IND,homeless,structural,0,0,0,0
CR/LDUAL+CDH+DUH/H11/NSCA/RES,homeless,structural,0,0,1,1
CR/LDUAL+CDH+DUH/H11/RES,homeless,structural,0,0,1,1
CR/LDUAL+CDH+DUH/H12/COM,homeless,structural,0,0,0,0
CR/LDUAL+CDH+DUH/H12/IND,homeless,structural,0,0,0,0
CR/LDUAL+CDH+DUH/H12/NSCA/COM,homeless,structural,0,0,0,0
CR/LDUAL+CDH+DUH/H12/NSCA/IND,homeless,structural,0,0,0,0
CR/LDUAL+CDH+DUH/H12/NSCA/RES,homeless,structural,0,0,1,1
CR/LDUAL+CDH+DUH/H12/RES,homeless,structural,0,0,1,1
CR/LDUAL+CDH+DUH/H2/COM,homeless,structural,0,0,0,0
CR/LDUAL+CDH+DUH/H2/IND,homeless,structural,0,0,0,0
CR/LDUAL+CDH+DUH/H2/RES,homeless,structural,0,0,1,1
CR/LDUAL+CDH+DUH/H3/COM,homeless,structural,0,0,0,0
CR/LDUAL+CDH+DUH/H3/IND,homeless,structural,0,0,0,0
CR/LDUAL+CDH+DUH/H3/RES,homeless,structural,0,0,1,1
CR/LDUAL+CDH+DUH/H4/COM,homeless,structural,0,0,0,0
CR/LDUAL+CDH+DUH/H4/IND,homeless,structural,0,0,0,0
CR/LDUAL+CDH+DUH/H4/RES,homeless,structural,0,0,1,1
CR/LDUAL+CDH+DUH/H5/COM,homeless,structural,0,0,0,0
CR/LDUAL+CDH+DUH/H5/IND,homeless,structural,0,0,0,0
CR/LDUAL+CDH+DUH/H5/RES,homeless,structural,0,0,1,1
CR/LDUAL+CDH+DUH/H6/COM,homeless,structural,0,0,0,0
CR/LDUAL+CDH+DUH/H6/IND,homeless,structural,0,0,0,0
CR/LDUAL+CDH+DUH/H6/RES,homeless,structural,0,0,1,1
CR/LDUAL+CDH+DUH/H7/COM,homeless,structural,0,0,0,0
CR/LDUAL+CDH+DUH/H7/IND,homeless,structural,0,0,0,0
CR/LDUAL+CDH+DUH/H7/RES,homeless,structural,0,0,1,1
CR/LDUAL+CDH+DUH/H8/COM,homeless,structural,0,0,0,0
CR/LDUAL+CDH+DUH/H8/IND,homeless,structural,0,0,0,0
CR/LDUAL+CDH+DUH/H8/RES,homeless,structural,0,0,1,1
CR/LDUAL+CDH+DUH/H9/COM,homeless,structural,0,0,0,0
CR/LDUAL+CDH+DUH/H9/IND,homeless,structural,0,0,0,0
CR/LDUAL+CDH+DUH/H9/RES,homeless,structural,0,0,1,1
CR/LDUAL+CDH+DUM/H1/COM,homeless,structural,0,0,0,0
CR/LDUAL+CDH+DUM/H1/IND,homeless,structural,0,0,0,0
CR/LDUAL+CDH+DUM/H1/RES,homeless,structural,0,0,1,1
CR/LDUAL+CDH+DUM/H10/COM,homeless,structural,0,0,0,0
CR/LDUAL+CDH+DUM/H10/IND,homeless,structural,0,0,0,0
CR/LDUAL+CDH+DUM/H10/RES,homeless,structural,0,0,1,1
CR/LDUAL+CDH+DUM/H11/COM,homeless,structural,0,0,0,0
CR/LDUAL+CDH+DUM/H11/IND,homeless,structural,0,0,0,0
CR/LDUAL+CDH+DUM/H11/RES,homeless,structural,0,0,1,1
CR/LDUAL+CDH+DUM/H12/COM,homeless,structural,0,0,0,0
CR/LDUAL+CDH+DUM/H12/IND,homeless,structural,0,0,0,0
CR/LDUAL+CDH+DUM/H12/RES,homeless,structural,0,0,1,1
CR/LDUAL+CDH+DUM/H2/COM,homeless,structural,0,0,0,0
CR/LDUAL+CDH+DUM/H2/IND,homeless,structural,0,0,0,0
CR/LDUAL+CDH+DUM/H2/RES,homeless,structural,0,0,1,1
CR/LDUAL+CDH+DUM/H3/COM,homeless,structural,0,0,0,0
CR/LDUAL+CDH+DUM/H3/IND,homeless,structural,0,0,0,0
CR/LDUAL+CDH+DUM/H3/RES,homeless,structural,0,0,1,1
CR/LDUAL+CDH+DUM/H4/COM,homeless,structural,0,0,0,0
CR/LDUAL+CDH+DUM/H4/IND,homeless,structural,0,0,0,0
CR/LDUAL+CDH+DUM/H4/RES,homeless,structural,0,0,1,1
CR/LDUAL+CDH+DUM/H5/COM,homeless,structural,0,0,0,0
CR/LDUAL+CDH+DUM/H5/IND,homeless,structural,0,0,0,0
CR/LDUAL+CDH+DUM/H5/RES,homeless,structural,0,0,1,1
CR/LDUAL+CDH+DUM/H6/COM,homeless,structural,0,0,0,0
CR/LDUAL+CDH+DUM/H6/IND,homeless,structural,0,0,0,0
CR/LDUAL+CDH+DUM/H6/RES,homeless,structural,0,0,1,1
CR/LDUAL+CDH+DUM/H7/COM,homeless,structural,0,0,0,0
CR/LDUAL+CDH+DUM/H7/IND,homeless,structural,0,0,0,0
CR/LDUAL+CDH+DUM/H7/RES,homeless,structural,0,0,1,1
CR/LDUAL+CDH+DUM/H8/COM,homeless,structural,0,0,0,0
CR/LDUAL+CDH+DUM/H8/IND,homeless,structural,0,0,0,0
CR/LDUAL+CDH+DUM/H8/RES,homeless,structural,0,0,1,1
CR/LDUAL+CDH+DUM/H9/COM,homeless,structural,0,0,0,0
CR/LDUAL+CDH+DUM/H9/IND,homeless,structural,0,0,0,0
CR/LDUAL+CDH+DUM/H9/RES,homeless,structural,0,0,1,1
CR/LDUAL+CDL+DUL/H1/COM,homeless,structural,0,0,0,0
CR/LDUAL+CDL+DUL/H1/IND,homeless,structural,0,0,0,0
CR/LDUAL+CDL+DUL/H1/RES,homeless,structural,0,0,1,1
