taxonomy,consequence,loss_type,slight,moderate,extensive,complete
CR/LDUAL+CDH+DUH/H1/COM,fatalities,structural,0,0,0,0.003403127
CR/LDUAL+CDH+DUH/H1/IND,fatalities,structural,0,0,0,0.003403127
CR/LDUAL+CDH+DUH/H1/RES,fatalities,structural,0,0,0,0.003403127
CR/LDUAL+CDH+DUH/H10/COM,fatalities,structural,0,0,0,0.006806253
CR/LDUAL+CDH+DUH/H10/IND,fatalities,structural,0,0,0,0.006806253
CR/LDUAL+CDH+DUH/H10/NSCA/COM,fatalities,structural,0,0,0,0.006806253
CR/LDUAL+CDH+DUH/H10/NSCA/IND,fatalities,structural,0,0,0,0.006806253
CR/LDUAL+CDH+DUH/H10/NSCA/RES,fatalities,structural,0,0,0,0.006806253
CR/LDUAL+CDH+DUH/H10/RES,fatalities,structural,0,0,0,0.006806253
CR/LDUAL+CDH+DUH/H11/COM,fatalities,structural,0,0,0,0.006806253
CR/LDUAL+CDH+DUH/H11/IND,fatalities,structural,0,0,0,0.006806253
CR/LDUAL+CDH+DUH/H11/NSCA/COM,fatalities,structural,0,0,0,0.006806253
CR/LDUAL+CDH+DUH/H11/NSCA/IND,fatalities,structural,0,0,0,0.006806253
CR/LDUAL+CDH+DUH/H11/NSCA/RES,fatalities,structural,0,0,0,0.006806253
CR/LDUAL+CDH+DUH/H11/RES,fatalities,structural,0,0,0,0.006806253
CR/LDUAL+CDH+DUH/H12/COM,fatalities,structural,0,0,0,0.006806253
CR/LDUAL+CDH+DUH/H12/IND,fatalities,structural,0,0,0,0.006806253
CR/LDUAL+CDH+DUH/H12/NSCA/COM,fatalities,structural,0,0,0,0.006806253
CR/LDUAL+CDH+DUH/H12/NSCA/IND,fatalities,structural,0,0,0,0.006806253
CR/LDUAL+CDH+DUH/H12/NSCA/RES,fatalities,structural,0,0,0,0.006806253
CR/LDUAL+CDH+DUH/H12/RES,fatalities,structural,0,0,0,0.006806253
CR/LDUAL+CDH+DUH/H2/COM,fatalities,structural,0,0,0,0.004167094
CR/LDUAL+CDH+DUH/H2/IND,fatalities,structural,0,0,0,0.004167094
CR/LDUAL+CDH+DUH/H2/RES,fatalities,structural,0,0,0,0.004167094
CR/LDUAL+CDH+DUH/H3/COM,fatalities,structural,0,0,0,0.004838459
CR/LDUAL+CDH+DUH/H3/IND,fatalities,structural,0,0,0,0.004838459
CR/LDUAL+CDH+DUH/H3/RES,fatalities,structural,0,0,0,0.004838459
CR/LDUAL+CDH+DUH/H4/COM,fatalities,structural,0,0,0,0.005417222
CR/LDUAL+CDH+DUH/H4/IND,fatalities,structural,0,0,0,0.005417222
CR/LDUAL+CDH+DUH/H4/RES,fatalities,structural,0,0,0,0.005417222
CR/LDUAL+CDH+DUH/H5/COM,fatalities,structural,0,0,0,0.005903383
CR/LDUAL+CDH+DUH/H5/IND,fatalities,structural,0,0,0,0.005903383
