ITEM,ID,EDP,Component,Group,Quantity,Damage States,"DS1, Median Demand","DS2, Median Demand","DS3, Median Demand","DS4, Median Demand","DS5, Median Demand","DS1, Total Dispersion (Beta)","DS2, Total Dispersion (Beta)","DS3, Total Dispersion (Beta)","DS4, Total Dispersion (Beta)","DS5, Total Dispersion (Beta)","DS1, Repair COST","DS2, Repair COST","DS3, Repair COST","DS4, Repair COST","DS5, Repair COST","DS1, COST Dispersion (Beta)","DS2, COST Dispersion (Beta)","DS3, COST Dispersion (Beta)","DS4, COST Dispersion (Beta)","DS5, COST Dispersion (Beta)","DS1, best fit","DS2, best fit","DS3, best fit","DS4, best fit","DS5, best fit"
1,Floor Finishes including Raised Access Floors,PFA,NS,8,0.042,1,0.5,,,,,0.5,,,,,316.4589662512658,,,,,0.35,,,,,Normal,,,,
2,Floor Finishes.  Raised Access Floors and Floor Flooding,PFA,NS,8,0.75,1,0.5,,,,,0.5,,,,,12.378496979216179,,,,,1.28,,,,,Lognormal,,,,
3,Roofing,PFA,NS,8,0.030038649599999998,2,0.4,0.5,,,,0.3,0.3,,,,67.27444010443575,110.86827729211014,,,,0.64,0.43,,,,Lognormal,Lognormal,,,
4,Ceilings - Lay in Tile,PFA,NS,8,0.06038697600000001,3,1.17,1.58,1.82,,,0.25,0.25,0.25,,,15.607670104229097,122.17038322965534,251.337308230172,,,0.5508,0.5183,0.2026,,,Normal,Lognormal,Lognormal,,
5,Ceilings - Gypsum board,PFA,NS,8,0.024154790399999997,3,1.17,1.58,1.82,,,0.25,0.25,0.25,,,15.607670104229097,122.17038322965534,251.337308230172,,,0.5508,0.5183,0.2026,,,Normal,Lognormal,Lognormal,,
6,Ceilings - Other,PFA,NS,8,0.004025798400000001,3,1.17,1.58,1.82,,,0.25,0.25,0.25,,,15.607670104229097,122.17038322965534,251.337308230172,,,0.5508,0.5183,0.2026,,,Normal,Lognormal,Lognormal,,
7,Ceilings - Other (high end),PFA,NS,8,0.004335475199999999,3,1.17,1.58,1.82,,,0.25,0.25,0.25,,,15.607670104229097,122.17038322965534,251.337308230172,,,0.5508,0.5183,0.2026,,,Normal,Lognormal,Lognormal,,
8,Elevators ,PFA,NS,5,0.000202838304,4,0.39,0.39,0.39,0.39,,0.45,0.45,0.45,0.45,,4400.0,23100.0,39100.0,41600.0,,0.8741,0.2776,0.4083,0.4877,,Lognormal,Normal,Normal,Normal,
9,Piping - Cold Domestic Water Piping  - 2 ½ inch diameter or smaller,PFA,NS,7,0.0154432,2,1.5,2.6,,,,0.4,0.4,,,,0.9514435695538057,8.694225721784777,,,,0.7637,0.4054,,,,Lognormal,Lognormal,,,
10,Piping - Cold Domestic Water Piping – greater than 2 ½ diameter,PFA,NS,7,0.0045720000000000005,2,1.5,2.6,,,,0.4,0.4,,,,1.1482939632545932,10.990813648293964,,,,0.6487672677153935,0.40381005512019036,,,,Lognormal,Lognormal,,,
11,Piping - Hot Domestic Water Piping - 2 ½ inch diameter or smaller,PFA,NS,7,0.0308864,2,1.5,2.6,,,,0.4,0.4,,,,0.9514435695538057,8.694225721784777,,,,0.7637,0.4054,,,,Lognormal,Lognormal,,,
12,Piping - Hot Domestic Waster Piping – greater than 2 ½ diameter,PFA,NS,7,0.009144000000000001,2,1.5,2.6,,,,0.4,0.4,,,,1.1482939632545932,10.990813648293964,,,,0.6487672677153935,0.40381005512019036,,,,Lognormal,Lognormal,,,
13,Piping - Sanitary Waste Piping,PFA,NS,7,0.023164800000000003,2,1.2,2.4,,,,0.5,0.5,,,,1.3123359580052494,9.350393700787402,,,,0.58,0.34,,,,Lognormal,Lognormal,,,
14,Piping - Acid Waste Piping,PFA,NS,7,0.013716,2,1.5,2.6,,,,0.4,0.4,,,,1.1482939632545932,10.990813648293964,,,,0.65,0.4,,,,Lognormal,Lognormal,,,
15,HVAC - Chiller capacity,PFA,NS,6,0.00028956,1,0.2,,,,,0.4,,,,,46200.0,,,,,0.1785,,,,,Lognormal,,,,
16,HVAC - Cooling Tower capacity,PFA,NS,6,0.00028956,1,0.5,,,,,0.4,,,,,23700.0,,,,,0.172,,,,,Lognormal,,,,
17,HVAC - Air Handling Units,PFA,NS,6,0.006607299999999999,2,0.25,0.25,,,,0.4,0.4,,,,1000.0,29200.0,,,,0.1511,0.1655,,,,Lognormal,Lognormal,,,
18,HVAC - HVAC Ducts – 6 sq. feet for larger,PFA,NS,6,0.007112000000000001,2,1.5,2.25,,,,0.4,0.4,,,,3.1167979002624673,26.08267716535433,,,,0.256,0.0806,,,,Lognormal,Lognormal,,,
19,HVAC - HVAC Ducts – less than 6 sq. feet,PFA,NS,6,0.013208,2,1.5,2.25,,,,0.4,0.4,,,,2.1325459317585302,18.864829396325458,,,,0.3674,0.1002,,,,Lognormal,Lognormal,,,
20,HVAC - HVAC in-line Drops & Diffusers,PFA,NS,6,0.005666666666666667,1,1.3,,,,,0.4,,,,,300.0,,,,,0.2066,,,,,Normal,,,,
21,HVAC - HVAC in-line Coils,PFA,NS,6,0.0016666666666666668,1,1.9,,,,,0.4,,,,,1500.0,,,,,0.2942,,,,,Lognormal,,,,
22,HVAC - VAV Boxes,PFA,NS,6,0.002,1,1.9,,,,,0.4,,,,,1500.0,,,,,0.2942,,,,,Lognormal,,,,
23,HVAC - Fan Coil Unis,PFA,NS,6,0.006,1,1.9,,,,,0.4,,,,,1500.0,,,,,0.2942,,,,,Lognormal,,,,
24,Piping - Steam & Chilled Water Piping – greater than 2 ½ diameter,PFA,NS,7,0.0005080000000000001,2,1.5,2.6,,,,0.5,0.5,,,,1.1482939632545932,10.990813648293964,,,,0.6488,0.4038,,,,Lognormal,Lognormal,,,
25,Piping - Heating Water Piping - 2 ½ inch diameter or smaller,PFA,NS,7,0.0035560000000000006,2,0.55,1.1,,,,0.5,0.5,,,,0.9514435695538057,8.694225721784777,,,,0.7637,0.4054,,,,Lognormal,Lognormal,,,
26,Piping - Heating Water Piping – greater than 2 ½ diameter,PFA,NS,7,0.0015240000000000002,2,1.5,2.6,,,,0.4,0.4,,,,1.1482939632545932,10.990813648293964,,,,0.6488,0.4038,,,,Lognormal,Lognormal,,,
27,Electrical - Motor Control Centers,PFA,NS,5,1.3333333333333335e-05,1,0.73,,,,,0.45,,,,,4150.0,,,,,0.1826,,,,,Normal,,,,
28,Electrical - Transformers < 100kVA,PFA,NS,5,0.0001,1,1.01,,,,,0.6,,,,,7575.0,,,,,0.1875,,,,,Lognormal,,,,
29,Electrical - Distribution Panel,PFA,NS,5,3.3333333333333335e-05,1,2.16,,,,,0.45,,,,,9275.0,,,,,0.1572,,,,,Lognormal,,,,
30,Electrical - Wall mounted switchgear,PFA,NS,5,0.0003,1,1.28,,,,,0.4,,,,,9275.0,,,,,0.1572,,,,,Lognormal,,,,
31,Electrical - Lighting Fixtures – Lay in fluorescent ,PFA,NS,5,0.01,1,0.6,,,,,0.4,,,,,495.0,,,,,0.6369,,,,,Lognormal,,,,
32,Electrical - Lighting Fixtures – Stem hung fluorescent,PFA,NS,5,0.01,1,0.6,,,,,0.4,,,,,495.0,,,,,0.6369,,,,,Lognormal,,,,
