ITEM,ID,EDP,Component,Group,Quantity,Damage States,"DS1, Median Demand","DS2, Median Demand","DS3, Median Demand","DS4, Median Demand","DS5, Median Demand","DS1, Total Dispersion (Beta)","DS2, Total Dispersion (Beta)","DS3, Total Dispersion (Beta)","DS4, Total Dispersion (Beta)","DS5, Total Dispersion (Beta)","DS1, Repair COST","DS2, Repair COST","DS3, Repair COST","DS4, Repair COST","DS5, Repair COST","DS1, COST Dispersion (Beta)","DS2, COST Dispersion (Beta)","DS3, COST Dispersion (Beta)","DS4, COST Dispersion (Beta)","DS5, COST Dispersion (Beta)","DS1, best fit","DS2, best fit","DS3, best fit","DS4, best fit","DS5, best fit"
1,Floor Finishes including Raised Access Floors,PFA,NS,8,0.212,1,0.5,,,,,0.5,,,,,316.4589662512658,,,,,0.35,,,,,Normal,,,,
2,Roofing,PFA,NS,8,0.029728972800000003,2,0.4,0.5,,,,0.3,0.3,,,,67.27444010443575,110.86827729211014,,,,0.64,0.43,,,,Lognormal,Lognormal,,,
3,Ceilings - Gypsum board,PFA,NS,8,0.088257888,3,1.17,1.58,1.82,,,0.25,0.25,0.25,,,15.607670104229097,122.17038322965534,251.337308230172,,,0.5508,0.5183,0.2026,,,Normal,Lognormal,Lognormal,,
4,Ceilings - Other,PFA,NS,8,0.0046451520000000005,3,1.17,1.58,1.82,,,0.25,0.25,0.25,,,15.607670104229097,122.17038322965534,251.337308230172,,,0.5508,0.5183,0.2026,,,Normal,Lognormal,Lognormal,,
5,Elevators ,PFA,NS,5,0.000492386112,4,0.39,0.39,0.39,0.39,,0.45,0.45,0.45,0.45,,4400.0,23100.0,39100.0,41600.0,,0.8741,0.2776,0.4083,0.4877,,Lognormal,Normal,Normal,Normal,
6,Piping - Cold Domestic Water Piping  - 2 ½ inch diameter or smaller,PFA,NS,7,0.0323088,2,1.5,2.6,,,,0.4,0.4,,,,0.9514435695538057,8.694225721784777,,,,0.7637,0.4054,,,,Lognormal,Lognormal,,,
7,Piping - Cold Domestic Water Piping – greater than 2 ½ diameter,PFA,NS,7,0.0045720000000000005,2,1.5,2.6,,,,0.4,0.4,,,,1.1482939632545932,10.990813648293964,,,,0.6487672677153935,0.40381005512019036,,,,Lognormal,Lognormal,,,
8,Piping - Hot Domestic Water Piping - 2 ½ inch diameter or smaller,PFA,NS,7,0.0646176,2,1.5,2.6,,,,0.4,0.4,,,,0.9514435695538057,8.694225721784777,,,,0.7637,0.4054,,,,Lognormal,Lognormal,,,
9,Piping - Hot Domestic Waster Piping – greater than 2 ½ diameter,PFA,NS,7,0.009144000000000001,2,1.5,2.6,,,,0.4,0.4,,,,1.1482939632545932,10.990813648293964,,,,0.6487672677153935,0.40381005512019036,,,,Lognormal,Lognormal,,,
10,Piping - Sanitary Waste Piping,PFA,NS,7,0.0368808,2,1.2,2.4,,,,0.5,0.5,,,,1.3123359580052494,9.350393700787402,,,,0.58,0.34,,,,Lognormal,Lognormal,,,
11,HVAC - HVAC Ducts – less than 6 sq. feet,PFA,NS,6,0.015240000000000002,2,1.5,2.25,,,,0.4,0.4,,,,2.1325459317585302,18.864829396325458,,,,0.3674,0.1002,,,,Lognormal,Lognormal,,,
12,HVAC - HVAC in-line Drops & Diffusers,PFA,NS,6,0.008,1,1.3,,,,,0.4,,,,,300.0,,,,,0.2066,,,,,Normal,,,,
13,HVAC - Fan Coil Unis,PFA,NS,6,0.004,1,1.9,,,,,0.4,,,,,1500.0,,,,,0.2942,,,,,Lognormal,,,,
14,Piping - Heating Water Piping - 2 ½ inch diameter or smaller,PFA,NS,7,0.0015240000000000002,2,0.55,1.1,,,,0.5,0.5,,,,0.9514435695538057,8.694225721784777,,,,0.7637,0.4054,,,,Lognormal,Lognormal,,,
15,Piping - Heating Water Piping – greater than 2 ½ diameter,PFA,NS,7,0.0015240000000000002,2,1.5,2.6,,,,0.4,0.4,,,,1.1482939632545932,10.990813648293964,,,,0.6488,0.4038,,,,Lognormal,Lognormal,,,
16,Electrical - Transformers < 100kVA,PFA,NS,5,5e-05,1,1.01,,,,,0.6,,,,,7575.0,,,,,0.1875,,,,,Lognormal,,,,
17,Electrical - Distribution Panel,PFA,NS,5,1.3e-05,1,2.16,,,,,0.45,,,,,9275.0,,,,,0.1572,,,,,Lognormal,,,,
18,Electrical - Wall mounted switchgear,PFA,NS,5,0.0008,1,1.28,,,,,0.4,,,,,9275.0,,,,,0.1572,,,,,Lognormal,,,,
19,Fire Protection - Sprinkler Piping  ,PFA,NS,8,0.06705599999999999,2,1.1,2.4,,,,0.4,0.5,,,,1.1482939632545932,8.694225721784777,,,,0.6488,0.4054,,,,Lognormal,Lognormal,,,
20,Fire Protection - Sprinkler Drops,PFA,NS,8,0.012,2,0.75,0.95,,,,0.4,0.4,,,,5.0,5.0,,,,0.3665,0.3665,,,,Lognormal,Lognormal,,,
