ITEM,ID,EDP,Component,Group,Quantity,Damage States,"DS1, Median Demand","DS2, Median Demand","DS3, Median Demand","DS4, Median Demand","DS5, Median Demand","DS1, Total Dispersion (Beta)","DS2, Total Dispersion (Beta)","DS3, Total Dispersion (Beta)","DS4, Total Dispersion (Beta)","DS5, Total Dispersion (Beta)","DS1, Repair COST","DS2, Repair COST","DS3, Repair COST","DS4, Repair COST","DS5, Repair COST","DS1, COST Dispersion (Beta)","DS2, COST Dispersion (Beta)","DS3, COST Dispersion (Beta)","DS4, COST Dispersion (Beta)","DS5, COST Dispersion (Beta)","DS1, best fit","DS2, best fit","DS3, best fit","DS4, best fit","DS5, best fit"
1,Cladding - Gross Wall Area,PSD,NS,2,0.0401031456,2,0.0338,0.0383,,,,0.4,0.4,,,,491.551909029744,491.551909029744,,,,0.17,0.17,,,,Lognormal,Lognormal,,,
2,Cladding - Windows & Glazing Area,PSD,NS,3,0.0148644864,2,0.0338,0.0383,,,,0.4,0.4,,,,491.551909029744,491.551909029744,,,,0.17,0.17,,,,Lognormal,Lognormal,,,
3,Doors,PSD,NS,3,0.15,1,0.018799999999999997,,,,,0.38,,,,,754.0,,,,,0.3,,,,,Lognormal,,,,
4,Windows,PSD,NS,3,0.3,1,0.018799999999999997,,,,,0.38,,,,,347.0,,,,,0.3,,,,,Lognormal,,,,
5,Floor Finishes including Raised Access Floors,PFA,NS,8,0.042,1,0.5,,,,,0.5,,,,,316.4589662512658,,,,,0.35,,,,,Normal,,,,
6,Floor Finishes.  Raised Access Floors and Floor Flooding,PFA,NS,8,0.75,1,0.5,,,,,0.5,,,,,12.378496979216179,,,,,1.28,,,,,Lognormal,,,,
7,Roofing,PFA,NS,8,0.030038649599999998,2,0.4,0.5,,,,0.3,0.3,,,,67.27444010443575,110.86827729211014,,,,0.64,0.43,,,,Lognormal,Lognormal,,,
8,Gypsum Partitions,PSD,NS,1,1.092,4,0.0018,0.0046,0.0105,0.018799999999999997,,0.52,0.54,0.4,0.38,,62.0,117.0,234.0,234.0,,0.4814,0.5559,0.1959,0.1959,,Lognormal,Lognormal,,,
9,Ceramic tile walls,PSD,NS,2,0.004791456,2,0.0021,0.0071,,,,0.6,0.45,,,,86.11128333367778,348.750697501395,,,,0.22,0.09,,,,Lognormal,Lognormal,,,
10,Ceilings - Lay in Tile,PFA,NS,8,0.06038697600000001,3,1.17,1.58,1.82,,,0.25,0.25,0.25,,,15.607670104229097,122.17038322965534,251.337308230172,,,0.5508,0.5183,0.2026,,,Normal,Lognormal,Lognormal,,
11,Ceilings - Gypsum board,PFA,NS,8,0.024154790399999997,3,1.17,1.58,1.82,,,0.25,0.25,0.25,,,15.607670104229097,122.17038322965534,251.337308230172,,,0.5508,0.5183,0.2026,,,Normal,Lognormal,Lognormal,,
12,Ceilings - Other,PFA,NS,8,0.004025798400000001,3,1.17,1.58,1.82,,,0.25,0.25,0.25,,,15.607670104229097,122.17038322965534,251.337308230172,,,0.5508,0.5183,0.2026,,,Normal,Lognormal,Lognormal,,
13,Ceilings - Other (high end),PFA,NS,8,0.004335475199999999,3,1.17,1.58,1.82,,,0.25,0.25,0.25,,,15.607670104229097,122.17038322965534,251.337308230172,,,0.5508,0.5183,0.2026,,,Normal,Lognormal,Lognormal,,
14,Stairs,PSD,NS,4,0.0,3,0.005,0.017,0.028,,,0.6,0.6,0.45,,,700.0,3700.0,24950.0,,,0.8015,0.5694,0.34,,,Lognormal,Lognormal,Normal,,
15,Elevators ,PFA,NS,5,0.000202838304,4,0.39,0.39,0.39,0.39,,0.45,0.45,0.45,0.45,,4400.0,23100.0,39100.0,41600.0,,0.8741,0.2776,0.4083,0.4877,,Lognormal,Normal,Normal,Normal,
16,Piping - Cold Domestic Water Piping  - 2 ½ inch diameter or smaller,PFA,NS,7,0.0154432,2,1.5,2.6,,,,0.4,0.4,,,,0.9514435695538057,8.694225721784777,,,,0.7637,0.4054,,,,Lognormal,Lognormal,,,
17,Piping - Cold Domestic Water Piping – greater than 2 ½ diameter,PFA,NS,7,0.0045720000000000005,2,1.5,2.6,,,,0.4,0.4,,,,1.1482939632545932,10.990813648293964,,,,0.6487672677153935,0.40381005512019036,,,,Lognormal,Lognormal,,,
18,Piping - Hot Domestic Water Piping - 2 ½ inch diameter or smaller,PFA,NS,7,0.0308864,2,1.5,2.6,,,,0.4,0.4,,,,0.9514435695538057,8.694225721784777,,,,0.7637,0.4054,,,,Lognormal,Lognormal,,,
19,Piping - Hot Domestic Waster Piping – greater than 2 ½ diameter,PFA,NS,7,0.009144000000000001,2,1.5,2.6,,,,0.4,0.4,,,,1.1482939632545932,10.990813648293964,,,,0.6487672677153935,0.40381005512019036,,,,Lognormal,Lognormal,,,
20,Piping - Sanitary Waste Piping,PFA,NS,7,0.023164800000000003,2,1.2,2.4,,,,0.5,0.5,,,,1.3123359580052494,9.350393700787402,,,,0.58,0.34,,,,Lognormal,Lognormal,,,
21,Piping - Acid Waste Piping,PFA,NS,7,0.013716,2,1.5,2.6,,,,0.4,0.4,,,,1.1482939632545932,10.990813648293964,,,,0.65,0.4,,,,Lognormal,Lognormal,,,
22,HVAC - Chiller capacity,PFA,NS,6,0.00028956,1,0.2,,,,,0.4,,,,,46200.0,,,,,0.1785,,,,,Lognormal,,,,
23,HVAC - Cooling Tower capacity,PFA,NS,6,0.00028956,1,0.5,,,,,0.4,,,,,23700.0,,,,,0.172,,,,,Lognormal,,,,
24,HVAC - Air Handling Units,PFA,NS,6,0.006607299999999999,2,0.25,0.25,,,,0.4,0.4,,,,1000.0,29200.0,,,,0.1511,0.1655,,,,Lognormal,Lognormal,,,
25,HVAC - Fans,PFA,NS,6,0.0,1,0.5,,,,,0.4,,,,,2650.0,,,,,0.1394,,,,,Lognormal,,,,
