ITEM,ID,EDP,Component,Group,Quantity,Damage States,"DS1, Median Demand","DS2, Median Demand","DS3, Median Demand","DS4, Median Demand","DS5, Median Demand","DS1, Total Dispersion (Beta)","DS2, Total Dispersion (Beta)","DS3, Total Dispersion (Beta)","DS4, Total Dispersion (Beta)","DS5, Total Dispersion (Beta)","DS1, Repair COST","DS2, Repair COST","DS3, Repair COST","DS4, Repair COST","DS5, Repair COST","DS1, COST Dispersion (Beta)","DS2, COST Dispersion (Beta)","DS3, COST Dispersion (Beta)","DS4, COST Dispersion (Beta)","DS5, COST Dispersion (Beta)","DS1, best fit","DS2, best fit","DS3, best fit","DS4, best fit","DS5, best fit"
1,Roofing,PFA,NS,2,0.0,2,0.4,0.5,,,,0.3,0.3,,,,132.93864370290638,383.2077502691066,,,,0.5149,0.4691,,,,,,,,
2,Ceilings - Lay in Tile,PFA,NS,2,0.73220333449036,3,0.86,1.3275,1.5625,,,0.25,0.25,0.25,,,18.693674899866487,165.0200267022697,466.0526535380508,,,0.5508,0.5183,0.2026,,,,,,,
3,Ceilings - Gypsum board,PFA,NS,2,0.04176194297044386,3,0.86,1.3275,1.5625,,,0.25,0.25,0.25,,,18.693674899866487,165.0200267022697,466.0526535380508,,,0.5508,0.5183,0.2026,,,,,,,
4,Ceilings - Other,PFA,NS,2,0.023067957944206692,3,0.86,1.3275,1.5625,,,0.25,0.25,0.25,,,18.693674899866487,165.0200267022697,466.0526535380508,,,0.5508,0.5183,0.2026,,,,,,,
5,Ceilings - Other (high end),PFA,NS,2,0.01616711633912395,3,0.86,1.3275,1.5625,,,0.25,0.25,0.25,,,18.693674899866487,165.0200267022697,466.0526535380508,,,0.5508,0.5183,0.2026,,,,,,,
6,Storage Racks,PFA,NS,2,0.16233988876190494,2,0.42,0.42,,,,0.4,0.4,,,,15.647082576216434,94.134867756915,,,,0.3622,0.2881,,,,,,,,
7,Elevators,PFA,NS,2,0.00023406274889621,4,0.39,0.39,0.39,0.39,,0.45,0.45,0.45,0.45,,1760.0,9240.0,15640.0,16640.0,,0.8741,0.2776,0.4083,0.4877,,,,,,
8,Piping - Cold Domestic Water Piping - 2 ½ inch diameter or smaller,PFA,NS,2,0.11306711118676854,2,1.5,2.6,,,,0.4,0.4,,,,1.0465879265091864,10.61023622047244,,,,0.7637,0.4054,,,,,,,,
9,Piping - Cold Domestic Water Piping – greater than 2 ½ diameter,PFA,NS,2,0.0372989499231847,2,1.5,2.6,,,,0.4,0.4,,,,0.45931758530183725,4.8556430446194225,,,,0.6488,0.4038,,,,,,,,
10,Piping - Hot Domestic Water Piping - 2 ½ inch diameter or smaller,PFA,NS,2,0.21306751778421587,2,1.5,2.6,,,,0.4,0.4,,,,1.0465879265091864,10.61023622047244,,,,0.7637,0.4054,,,,,,,,
