Region,Building Class,Occupancy,DV,AV,,,,,,,,,
1,CR_LDUAL+CDH+DUH_H1,RES,0.74,0.26,,,,,,,,,
1,CR_LDUAL+CDH+DUH_H10,RES,0.74,0.26,,,,,,,,,
1,CR_LDUAL+CDH+DUH_H10_NSCA,RES,0.74,0.26,,,,,,,,,
1,CR_LDUAL+CDH+DUH_H11,RES,0.74,0.26,,,,,,,,,
1,CR_LDUAL+CDH+DUH_H11_NSCA,RES,0.74,0.26,,,,,,,,,
1,CR_LDUAL+CDH+DUH_H12,RES,0.74,0.26,,,,,,,,,
1,CR_LDUAL+CDH+DUH_H12_NSCA,RES,0.74,0.26,,,,,,,,,
1,CR_LDUAL+CDH+DUH_H2,RES,0.74,0.26,,,,,,,,,
1,CR_LDUAL+CDH+DUH_H3,RES,0.74,0.26,,,,,,,,,
1,CR_LDUAL+CDH+DUH_H4,RES,0.74,0.26,,,,,,,,,
1,CR_LDUAL+CDH+DUH_H5,RES,0.74,0.26,,,,,,,,,
1,CR_LDUAL+CDH+DUH_H6,RES,0.74,0.26,,,,,,,,,
1,CR_LDUAL+CDH+DUH_H7,RES,0.74,0.26,,,,,,,,,
1,CR_LDUAL+CDH+DUH_H8,RES,0.74,0.26,,,,,,,,,
1,CR_LDUAL+CDH+DUH_H9,RES,0.74,0.26,,,,,,,,,
1,CR_LDUAL+CDH+DUM_H1,RES,0.74,0.26,,,,,,,,,
1,CR_LDUAL+CDH+DUM_H10,RES,0.74,0.26,,,,,,,,,
1,CR_LDUAL+CDH+DUM_H11,RES,0.74,0.26,,,,,,,,,
1,CR_LDUAL+CDH+DUM_H12,RES,0.74,0.26,,,,,,,,,
1,CR_LDUAL+CDH+DUM_H2,RES,0.74,0.26,,,,,,,,,
1,CR_LDUAL+CDH+DUM_H3,RES,0.74,0.26,,,,,,,,,
1,CR_LDUAL+CDH+DUM_H4,RES,0.74,0.26,,,,,,,,,
1,CR_LDUAL+CDH+DUM_H5,RES,0.74,0.26,,,,,,,,,
1,CR_LDUAL+CDH+DUM_H6,RES,0.74,0.26,,,,,,,,,
1,CR_LDUAL+CDH+DUM_H7,RES,0.74,0.26,,,,,,,,,
1,CR_LDUAL+CDH+DUM_H8,RES,0.74,0.26,,,,,,,,,
1,CR_LDUAL+CDH+DUM_H9,RES,0.74,0.26,,,,,,,,,
1,CR_LDUAL+CDL+DUL_H1,RES,0.74,0.26,,,,,,,,,
1,CR_LDUAL+CDL+DUL_H10,RES,0.74,0.26,,,,,,,,,
1,CR_LDUAL+CDL+DUL_H11,RES,0.74,0.26,,,,,,,,,
1,CR_LDUAL+CDL+DUL_H12,RES,0.74,0.26,,,,,,,,,
1,CR_LDUAL+CDL+DUL_H2,RES,0.74,0.26,,,,,,,,,
1,CR_LDUAL+CDL+DUL_H3,RES,0.74,0.26,,,,,,,,,
1,CR_LDUAL+CDL+DUL_H4,RES,0.74,0.26,,,,,,,,,
1,CR_LDUAL+CDL+DUL_H5,RES,0.74,0.26,,,,,,,,,
1,CR_LDUAL+CDL+DUL_H6,RES,0.74,0.26,,,,,,,,,
1,CR_LDUAL+CDL+DUL_H7,RES,0.74,0.26,,,,,,,,,
