Building_class,Number_storeys,Storey_height,Type_of_period_func,a_period_param,b_period_param,Yield_period,Participation_factor,Yield_drift,Ult_drift,Type_cap_curve,Yield_mult_factor,Ult_mult_factor,Ratio_capacity_last_line
MUR+STRUB_LWAL+DNO_H1,1,2.8,Power,0.08,0.75,0.17,1.33,0.0013,0.007,Trilinear,1,1,1.01
MUR+STRUB_LWAL+DNO_H2,2,2.8,Power,0.08,0.75,0.29,1.33,0.0013,0.007,Trilinear,1,1,1.01
MUR+STRUB_LWAL+DNO_H3,3,2.8,Power,0.08,0.75,0.39,1.33,0.0013,0.007,Trilinear,1,0.83,1.01
MUR+STRUB_LWAL+DNO_H4,4,2.8,Power,0.08,0.75,0.49,1.33,0.0013,0.007,Trilinear,1,0.75,1.01
MUR+STRUB_LWAL+DNO_H5,5,2.8,Power,0.08,0.75,0.58,1.33,0.0013,0.007,Trilinear,1,0.67,1.01
MUR+CLBRH_LWAL+DNO_H1,1,2.8,Power,0.062,0.87,0.15,1.33,0.0013,0.0075,Trilinear,1,1,1.01
MUR+CLBRH_LWAL+DNO_H2,2,2.8,Power,0.062,0.87,0.28,1.33,0.0013,0.0075,Trilinear,1,1,1.01
MUR+CLBRH_LWAL+DNO_H3,3,2.8,Power,0.062,0.87,0.39,1.33,0.0013,0.0075,Trilinear,1,0.83,1.01
MUR+CLBRH_LWAL+DNO_H4,4,2.8,Power,0.062,0.87,0.51,1.33,0.0013,0.0075,Trilinear,1,0.75,1.01
MUR+CLBRH_LWAL+DNO_H5,5,2.8,Power,0.062,0.87,0.62,1.33,0.0013,0.0075,Trilinear,1,0.67,1.01
MUR+CLBRS_LWAL+DNO_H1,1,2.8,Power,0.062,0.87,0.15,1.33,0.0014,0.008,Trilinear,1,1,1.01
MUR+CLBRS_LWAL+DNO_H2,2,2.8,Power,0.062,0.87,0.28,1.33,0.0014,0.008,Trilinear,1,1,1.01
MUR+CLBRS_LWAL+DNO_H3,3,2.8,Power,0.062,0.87,0.39,1.33,0.0014,0.008,Trilinear,1,0.83,1.01
MUR+CLBRS_LWAL+DNO_H4,4,2.8,Power,0.062,0.87,0.51,1.33,0.0014,0.008,Trilinear,1,0.75,1.01
MUR+CLBRS_LWAL+DNO_H5,5,2.8,Power,0.062,0.87,0.62,1.33,0.0014,0.008,Trilinear,1,0.67,1.01
MUR+STDRE_LWAL+DNO_H1,1,2.8,Power,0.08,0.75,0.17,1.33,0.0016,0.0085,Trilinear,1,1,1.01
MUR+STDRE_LWAL+DNO_H2,2,2.8,Power,0.08,0.75,0.29,1.33,0.0016,0.0085,Trilinear,1,1,1.01
MUR+STDRE_LWAL+DNO_H3,3,2.8,Power,0.08,0.75,0.39,1.33,0.0016,0.0085,Trilinear,1,0.83,1.01
MUR+STDRE_LWAL+DNO_H4,4,2.8,Power,0.08,0.75,0.49,1.33,0.0016,0.0085,Trilinear,1,0.75,1.01
MUR+STDRE_LWAL+DNO_H5,5,2.8,Power,0.08,0.75,0.58,1.33,0.0016,0.0085,Trilinear,1,0.67,1.01
MUR+CBH_LWAL+DNO_H1,1,2.8,Power,0.0651,0.87,0.16,1.33,0.0018,0.01,Trilinear,1,1,1.01
MUR+CBH_LWAL+DNO_H2,2,2.8,Power,0.0651,0.87,0.29,1.33,0.0018,0.01,Trilinear,1,1,1.01
MUR+CBH_LWAL+DNO_H3,3,2.8,Power,0.0651,0.87,0.41,1.33,0.0018,0.01,Trilinear,1,0.83,1.01
MUR+CBH_LWAL+DNO_H4,4,2.8,Power,0.0651,0.87,0.53,1.33,0.0018,0.01,Trilinear,1,0.75,1.01
MUR+CBH_LWAL+DNO_H5,5,2.8,Power,0.0651,0.87,0.65,1.33,0.0018,0.01,Trilinear,1,0.67,1.01
MUR+ADO_LWAL+DNO_H1,1,2.6,Power,0.066,0.95,0.16,1.33,0.0013,0.0064,Trilinear,1,1,1.01
MUR+ADO_LWAL+DNO_H2,2,2.6,Power,0.066,0.95,0.32,1.33,0.0013,0.0064,Trilinear,1,1,1.01
MUR+ADO_LWAL+DNO_H3,3,2.6,Power,0.066,0.95,0.46,1.33,0.0013,0.0064,Trilinear,1,0.83,1.01
MUR+ADO_LWAL+DNO_H1_CCA,1,2.6,Power,0.06105,0.95,0.15,1.33,0.0016,0.0069,Trilinear,1,1,1.01
MUR+ADO_LWAL+DNO_H2_CCA,2,2.6,Power,0.06105,0.95,0.29,1.33,0.0016,0.0069,Trilinear,1,1,1.01
MUR+ADO_LWAL+DNO_H3_CCA,3,2.6,Power,0.06105,0.95,0.43,1.33,0.0016,0.0069,Trilinear,1,0.83,1.01
EU_LWAL+DNO_H1,1,2.6,Power,0.06402,0.95,0.16,1.33,0.0007,0.0055,Trilinear,1,1,1.01
EU_LWAL+DNO_H2,2,2.6,Power,0.06402,0.95,0.31,1.33,0.0007,0.0055,Trilinear,1,1,1.01
EU_LWAL+DNO_H3,3,2.6,Power,0.06402,0.95,0.45,1.33,0.0007,0.0055,Trilinear,1,0.83,1.01
MR_LWAL+DUL_H1,1,2.8,Power,0.06014,0.87,0.15,1.33,0.0018,0.008,Trilinear,1,1,1.01
MR_LWAL+DUL_H2,2,2.8,Power,0.06014,0.87,0.27,1.33,0.0018,0.008,Trilinear,1.05,1,1.01
MR_LWAL+DUL_H3,3,2.8,Power,0.06014,0.87,0.38,1.33,0.0018,0.008,Trilinear,1.12,0.83,1.01
MR_LWAL+DUL_H4,4,2.8,Power,0.06014,0.87,0.49,1.33,0.0018,0.008,Trilinear,1.2,0.75,1.01
MR_LWAL+DUL_H5,5,2.8,Power,0.06014,0.87,0.60,1.33,0.0018,0.008,Trilinear,1.27,0.67,1.01
MR_LWAL+DUM_H1,1,2.8,Power,0.05828,0.87,0.14,1.33,0.002,0.009,Trilinear,1,1,1.01
MR_LWAL+DUM_H2,2,2.8,Power,0.05828,0.87,0.26,1.33,0.002,0.009,Trilinear,1.05,0.92,1.01
MR_LWAL+DUM_H3,3,2.8,Power,0.05828,0.87,0.37,1.33,0.002,0.009,Trilinear,1.12,0.83,1.01
MR_LWAL+DUM_H4,4,2.8,Power,0.05828,0.87,0.48,1.33,0.002,0.009,Trilinear,1.2,0.75,1.01
MR_LWAL+DUM_H5,5,2.8,Power,0.05828,0.87,0.58,1.33,0.002,0.009,Trilinear,1.27,0.67,1.01
MR_LWAL+DUH_H1,1,2.8,Power,0.05642,0.87,0.14,1.33,0.0022,0.01,Trilinear,1,1,1.01
MR_LWAL+DUH_H2,2,2.8,Power,0.05642,0.87,0.25,1.33,0.0022,0.01,Trilinear,1.05,1,1.01
MR_LWAL+DUH_H3,3,2.8,Power,0.05642,0.87,0.36,1.33,0.0022,0.01,Trilinear,1.12,0.83,1.01
MR_LWAL+DUH_H4,4,2.8,Power,0.05642,0.87,0.46,1.33,0.0022,0.01,Trilinear,1.2,0.75,1.01
MR_LWAL+DUH_H5,5,2.8,Power,0.05642,0.87,0.56,1.33,0.0022,0.01,Trilinear,1.27,0.67,1.01
MR_LWAL+DUL_H1_CCA,1,2.8,Power,0.0556295,0.87,0.14,1.33,0.0018,0.008,Trilinear,1,1,1.01
MR_LWAL+DUL_H2_CCA,2,2.8,Power,0.0556295,0.87,0.25,1.33,0.0018,0.008,Trilinear,1.05,1,1.01
MR_LWAL+DUL_H3_CCA,3,2.8,Power,0.0556295,0.87,0.35,1.33,0.0018,0.008,Trilinear,1.12,0.83,1.01
MR_LWAL+DUL_H4_CCA,4,2.8,Power,0.0556295,0.87,0.46,1.33,0.0018,0.008,Trilinear,1.2,0.75,1.01
MR_LWAL+DUL_H5_CCA,5,2.8,Power,0.0556295,0.87,0.55,1.33,0.0018,0.008,Trilinear,1.27,0.67,1.01
MCF_LWAL+DUL_H1,1,2.8,Poly,0.044,0,0.12,1.33,0.002,0.008,Trilinear,1,1,1.01
MCF_LWAL+DUL_H2,2,2.8,Poly,0.044,0,0.25,1.33,0.002,0.008,Trilinear,1.05,1,1.01
MCF_LWAL+DUL_H3,3,2.8,Poly,0.044,0,0.37,1.33,0.002,0.008,Trilinear,1.12,0.83,1.01
MCF_LWAL+DUL_H4,4,2.8,Poly,0.044,0,0.49,1.33,0.002,0.008,Trilinear,1.2,0.75,1.01
MCF_LWAL+DUL_H5,5,2.8,Poly,0.044,0,0.62,1.33,0.002,0.008,Trilinear,1.27,0.67,1.01
MCF_LWAL+DUL_H6,6,2.8,Poly,0.044,0,0.74,1.33,0.002,0.008,Trilinear,1.35,0.67,1.01
MCF_LWAL+DUM_H1,1,2.8,Poly,0.042,0,0.12,1.33,0.0024,0.0095,Trilinear,1,1,1.01
MCF_LWAL+DUM_H2,2,2.8,Poly,0.042,0,0.24,1.33,0.0024,0.0095,Trilinear,1.05,1,1.01
MCF_LWAL+DUM_H3,3,2.8,Poly,0.042,0,0.35,1.33,0.0024,0.0095,Trilinear,1.12,0.83,1.01
MCF_LWAL+DUM_H4,4,2.8,Poly,0.042,0,0.47,1.33,0.0024,0.0095,Trilinear,1.2,0.75,1.01
MCF_LWAL+DUM_H5,5,2.8,Poly,0.042,0,0.59,1.33,0.0024,0.0095,Trilinear,1.27,0.67,1.01
MCF_LWAL+DUM_H6,6,2.8,Poly,0.042,0,0.71,1.33,0.0024,0.0095,Trilinear,1.35,0.67,1.01
MCF_LWAL+DUH_H1,1,2.8,Poly,0.04,0,0.11,1.33,0.0028,0.0105,Trilinear,1,1,1.01
MCF_LWAL+DUH_H2,2,2.8,Poly,0.04,0,0.22,1.33,0.0028,0.0105,Trilinear,1.05,1,1.01
MCF_LWAL+DUH_H3,3,2.8,Poly,0.04,0,0.34,1.33,0.0028,0.0105,Trilinear,1.12,0.83,1.01
MCF_LWAL+DUH_H4,4,2.8,Poly,0.04,0,0.45,1.33,0.0028,0.0105,Trilinear,1.2,0.75,1.01
MCF_LWAL+DUH_H5,5,2.8,Poly,0.04,0,0.56,1.33,0.0028,0.0105,Trilinear,1.27,0.67,1.01
MCF_LWAL+DUH_H6,6,2.8,Poly,0.04,0,0.67,1.33,0.0028,0.0105,Trilinear,1.35,0.67,1.01
MCF_LWAL+DUL_H1_CCA,1,2.8,Poly,0.044,0,0.12,1.33,0.0022,0.0104,Trilinear,1,1,1.01
MCF_LWAL+DUL_H2_CCA,2,2.8,Poly,0.044,0,0.25,1.33,0.0022,0.0104,Trilinear,1.05,1,1.01
MCF_LWAL+DUL_H3_CCA,3,2.8,Poly,0.044,0,0.37,1.33,0.0022,0.0104,Trilinear,1.12,0.83,1.01
MCF_LWAL+DUL_H4_CCA,4,2.8,Poly,0.044,0,0.49,1.33,0.0022,0.0104,Trilinear,1.2,0.75,1.01
MCF_LWAL+DUL_H5_CCA,5,2.8,Poly,0.044,0,0.62,1.33,0.0022,0.0104,Trilinear,1.27,0.67,1.01
MCF_LWAL+DUL_H6_CCA,6,2.8,Poly,0.044,0,0.74,1.33,0.0022,0.0104,Trilinear,1.35,0.67,1.01
MCF_LWAL+DUM_H1_CCA,1,2.8,Poly,0.042,0,0.12,1.33,0.0026,0.011,Trilinear,1,1,1.01
MCF_LWAL+DUM_H2_CCA,2,2.8,Poly,0.042,0,0.24,1.33,0.0026,0.011,Trilinear,1.05,1,1.01
MCF_LWAL+DUM_H3_CCA,3,2.8,Poly,0.042,0,0.35,1.33,0.0026,0.011,Trilinear,1.12,0.83,1.01
MCF_LWAL+DUM_H4_CCA,4,2.8,Poly,0.042,0,0.47,1.33,0.0026,0.011,Trilinear,1.2,0.75,1.01
MCF_LWAL+DUM_H5_CCA,5,2.8,Poly,0.042,0,0.59,1.33,0.0026,0.011,Trilinear,1.27,0.67,1.01
MCF_LWAL+DUM_H6_CCA,6,2.8,Poly,0.042,0,0.71,1.33,0.0026,0.011,Trilinear,1.35,0.67,1.01
CR_LWAL+CDL+DUL_H1,1,2.8,Poly,0.0315,0,0.09,1.4,0.0014,0.0098,Trilinear,1,1,1.01
CR_LWAL+CDL+DUL_H2,2,2.8,Poly,0.0315,0,0.18,1.4,0.0014,0.0098,Trilinear,1.05,0.94,1.01
CR_LWAL+CDL+DUL_H3,3,2.8,Poly,0.0315,0,0.26,1.4,0.0014,0.0098,Trilinear,1.12,0.87,1.01
CR_LWAL+CDL+DUL_H4,4,2.8,Poly,0.0315,0,0.35,1.4,0.0014,0.0098,Trilinear,1.2,0.81,1.01
CR_LWAL+CDL+DUL_H5,5,2.8,Poly,0.0315,0,0.44,1.4,0.0014,0.0098,Trilinear,1.27,0.74,1.01
CR_LWAL+CDL+DUL_H6,6,2.8,Poly,0.0315,0,0.53,1.4,0.0014,0.0098,Trilinear,1.35,0.71,1.01
CR_LWAL+CDL+DUL_H7,7,2.8,Poly,0.0315,0,0.62,1.4,0.0014,0.0098,Trilinear,1.42,0.67,1.01
CR_LWAL+CDL+DUL_H8,8,2.8,Poly,0.0315,0,0.71,1.4,0.0014,0.0098,Trilinear,1.5,0.64,1.01
CR_LWAL+CDL+DUL_H9,9,2.8,Poly,0.0315,0,0.79,1.4,0.0014,0.0098,Trilinear,1.57,0.6,1.01
CR_LWAL+CDL+DUL_H10,10,2.8,Poly,0.0315,0,0.88,1.4,0.0014,0.0098,Trilinear,1.65,0.57,1.01
CR_LWAL+CDL+DUL_H11,11,2.8,Poly,0.0315,0,0.97,1.4,0.0014,0.0098,Trilinear,1.72,0.53,1.01
CR_LWAL+CDL+DUL_H12,12,2.8,Poly,0.0315,0,1.06,1.4,0.0014,0.0098,Trilinear,1.8,0.5,1.01
CR_LWAL+CDL+DUM_H1,1,2.8,Poly,0.0315,0,0.09,1.4,0.0018,0.0135,Trilinear,1,1,1.01
CR_LWAL+CDL+DUM_H2,2,2.8,Poly,0.0315,0,0.18,1.4,0.0018,0.0135,Trilinear,1.05,0.94,1.01
CR_LWAL+CDL+DUM_H3,3,2.8,Poly,0.0315,0,0.26,1.4,0.0018,0.0135,Trilinear,1.12,0.87,1.01
CR_LWAL+CDL+DUM_H4,4,2.8,Poly,0.0315,0,0.35,1.4,0.0018,0.0135,Trilinear,1.2,0.81,1.01
CR_LWAL+CDL+DUM_H5,5,2.8,Poly,0.0315,0,0.44,1.4,0.0018,0.0135,Trilinear,1.27,0.74,1.01
CR_LWAL+CDL+DUM_H6,6,2.8,Poly,0.0315,0,0.53,1.4,0.0018,0.0135,Trilinear,1.35,0.71,1.01
CR_LWAL+CDL+DUM_H7,7,2.8,Poly,0.0315,0,0.62,1.4,0.0018,0.0135,Trilinear,1.42,0.67,1.01
CR_LWAL+CDL+DUM_H8,8,2.8,Poly,0.0315,0,0.71,1.4,0.0018,0.0135,Trilinear,1.5,0.64,1.01
CR_LWAL+CDL+DUM_H9,9,2.8,Poly,0.0315,0,0.79,1.4,0.0018,0.0135,Trilinear,1.57,0.6,1.01
CR_LWAL+CDL+DUM_H10,10,2.8,Poly,0.0315,0,0.88,1.4,0.0018,0.0135,Trilinear,1.65,0.57,1.01
CR_LWAL+CDL+DUM_H11,11,2.8,Poly,0.0315,0,0.97,1.4,0.0018,0.0135,Trilinear,1.72,0.53,1.01
CR_LWAL+CDL+DUM_H12,12,2.8,Poly,0.0315,0,1.06,1.4,0.0018,0.0135,Trilinear,1.8,0.5,1.01
CR_LWAL+CDM+DUL_H1,1,2.8,Poly,0.02975,0,0.08,1.4,0.0018,0.0118,Trilinear,1,1,1.01
CR_LWAL+CDM+DUL_H2,2,2.8,Poly,0.02975,0,0.17,1.4,0.0018,0.0118,Trilinear,1.05,0.94,1.01
CR_LWAL+CDM+DUL_H3,3,2.8,Poly,0.02975,0,0.25,1.4,0.0018,0.0118,Trilinear,1.12,0.87,1.01
CR_LWAL+CDM+DUL_H4,4,2.8,Poly,0.02975,0,0.33,1.4,0.0018,0.0118,Trilinear,1.2,0.81,1.01
CR_LWAL+CDM+DUL_H5,5,2.8,Poly,0.02975,0,0.42,1.4,0.0018,0.0118,Trilinear,1.27,0.74,1.01
CR_LWAL+CDM+DUL_H6,6,2.8,Poly,0.02975,0,0.50,1.4,0.0018,0.0118,Trilinear,1.35,0.71,1.01
CR_LWAL+CDM+DUL_H7,7,2.8,Poly,0.02975,0,0.58,1.4,0.0018,0.0118,Trilinear,1.42,0.67,1.01
CR_LWAL+CDM+DUL_H8,8,2.8,Poly,0.02975,0,0.67,1.4,0.0018,0.0118,Trilinear,1.5,0.64,1.01
CR_LWAL+CDM+DUL_H9,9,2.8,Poly,0.02975,0,0.75,1.4,0.0018,0.0118,Trilinear,1.57,0.6,1.01
CR_LWAL+CDM+DUL_H10,10,2.8,Poly,0.02975,0,0.83,1.4,0.0018,0.0118,Trilinear,1.65,0.57,1.01
CR_LWAL+CDM+DUL_H11,11,2.8,Poly,0.02975,0,0.92,1.4,0.0018,0.0118,Trilinear,1.72,0.53,1.01
CR_LWAL+CDM+DUL_H12,12,2.8,Poly,0.02975,0,1.00,1.4,0.0018,0.0118,Trilinear,1.8,0.5,1.01
CR_LWAL+CDM+DUL_H13,13,2.8,Poly,0.02975,0,1.08,1.4,0.0018,0.0118,Trilinear,1.8,0.5,1.01
CR_LWAL+CDM+DUL_H14,14,2.8,Poly,0.02975,0,1.17,1.4,0.0018,0.0118,Trilinear,1.8,0.5,1.01
CR_LWAL+CDM+DUL_H15,15,2.8,Poly,0.02975,0,1.25,1.4,0.0018,0.0118,Trilinear,1.8,0.5,1.01
CR_LWAL+CDM+DUL_H16,16,2.8,Poly,0.02975,0,1.33,1.4,0.0018,0.0118,Trilinear,1.8,0.5,1.01
CR_LWAL+CDM+DUL_H17,17,2.8,Poly,0.02975,0,1.42,1.4,0.0018,0.0118,Trilinear,1.8,0.5,1.01
CR_LWAL+CDM+DUL_H18,18,2.8,Poly,0.02975,0,1.50,1.4,0.0018,0.0118,Trilinear,1.8,0.5,1.01
CR_LWAL+CDM+DUL_H19,19,2.8,Poly,0.02975,0,1.58,1.4,0.0018,0.0118,Trilinear,1.8,0.5,1.01
CR_LWAL+CDM+DUL_H20,20,2.8,Poly,0.02975,0,1.67,1.4,0.0018,0.0118,Trilinear,1.8,0.5,1.01
